,gene_name
729,GJA9
730,CHD1L
731,AGO1
732,TCEANC2
733,ERICH3
734,PRAMEF2
735,H4C15
736,NME7
737,PCNX2
738,TNFRSF1B
739,OR10X1
740,FPGT-TNNI3K
741,KCNJ9
742,EXO1
743,PRDM16
744,C1orf146
745,TFAP2E
746,ADCY10
747,RXFP4
748,ITLN2
749,CHI3L2
750,KCNAB2
751,TOMM40L
752,CR2
753,ACTRT2
754,GNPAT
755,CD1D
756,ADIPOR1
757,LBR
758,ATP1B1
759,LAD1
760,TRMT1L
761,FCN3
762,FASLG
763,XCL1
764,DPH2
765,OR14K1
766,OR2L2
767,ATP5PB
768,C1orf198
769,TRNAU1AP
770,APCS
771,NBPF20
772,COP1
773,MYOG
774,KLHDC7A
775,S100A14
776,ANKRD34A
777,PLPPR5
778,ARID4B
779,PLA2G2A
780,CLCA2
781,DCAF6
782,HSD17B7
783,LEMD1
784,COL9A2
785,OR2AJ1
786,CD164L2
787,JUN
788,NEK2
789,LDLRAP1
790,ATP6V1G3
791,TNN
792,ZSWIM5
793,DNM3
794,EMC1
795,EXTL2
796,ZNF692
797,AIM2
798,PRPF38B
799,SYT2
800,HES4
801,SH2D5
802,CTSS
803,ODF2L
804,PDPN
805,C1orf174
806,CACNA1E
807,PAX7
808,HAPLN2
809,F11R
810,H2AC21
811,CD1E
812,IVL
813,SIPA1L2
814,COA7
815,SCCPDH
816,FCGR2B
817,KLHL21
818,PTGFRN
819,MACF1
820,TMEM79
821,CHIT1
822,MRPS15
823,FLVCR1
824,PRAMEF6
825,PLEKHG5
826,AKIRIN1
827,WNT3A
828,INTS3
829,FCRL4
830,SSR2
831,NKAIN1
832,S100A3
833,UCHL5
834,URB2
835,PEF1
836,LRRC8D
837,ZBTB17
838,BRDT
839,IL20
840,UBE4B
841,BLACAT1
842,TCHH
843,SLC50A1
844,LCE3E
845,MAP10
846,PUSL1
847,WDR77
848,OPTC
849,GPATCH4
850,RCAN3
851,UBIAD1
852,DNTTIP2
853,GPR88
854,LELP1
855,TPRG1L
856,LRIF1
857,TNFSF4
858,CASQ2
859,DPH5
860,SPRR2A
861,PINK1
862,ZMPSTE24
863,OR2T33
864,CNTN2
865,FMO4
866,ECHDC2
867,IPO9
868,VAMP3
869,RGS8
870,OR2T4
871,WDTC1
872,IL24
873,OSBPL9
874,SMIM1
875,FCAMR
876,GBA
877,MYOM3
878,ATP5IF1
879,PLEKHA6
880,HAX1
881,LDLRAD2
882,TMCO2
883,PPP1R15B
884,PSRC1
885,PRG4
886,TMEM200B
887,SYT14
888,HLX
889,EXTL1
890,RNF187
891,RBM8A
892,KHDC4
893,CDC14A
894,OR2L5
895,BGLAP
896,CIART
897,MICOS10
898,PRAMEF1
899,SYCP1
900,KIAA1522
901,S100A9
902,METTL18
903,CHRM3
904,RHCE
905,UQCRH
906,METTL25B
907,ANGPTL7
908,CELA3A
909,DENND2C
910,TUFT1
911,EFNA1
912,CCDC18
913,ARHGAP30
914,ARPC5
915,HPCAL4
916,NGF
917,IFI44
918,OR2T29
919,CCNL2
920,EPHX4
921,CYB5RL
922,TIMM17A
923,SLAMF1
924,BSND
925,HMCN1
926,OR2G6
927,SPRR3
928,RWDD3
929,UFC1
930,SLC9A1
931,SELP
932,TSNAX
933,HNRNPCL1
934,TMOD4
935,PIGC
936,CFHR2
937,POLR3C
938,TTF2
939,TNNI1
940,PRCC
941,LHX9
942,AKR7A2
943,TIPRL
944,TNNT2
945,JTB
946,CGN
947,SIKE1
948,TMCO4
949,EPHA8
950,LRIG2
951,SLC16A4
952,NPPB
953,UTP11
954,DR1
955,NVL
956,SEMA4A
957,CA14
958,HDGF
959,RBBP4
960,RAP1A
961,SMYD3
962,PHGDH
963,NBPF14
964,CFAP126
965,ZBTB37
966,RNPEP
967,OR2L13
968,DMRTA2
969,CYP4Z1
970,PRSS38
971,CMPK1
972,MSTO1
973,TTC34
974,PEX14
975,GJA8
976,ZRANB2
977,NAXE
978,RCC1
979,HMGCS2
980,SASS6
981,UTS2
982,SMIM12
983,LEPR
984,PBXIP1
985,GPR161
986,RSC1A1
987,PRAMEF33
988,KLHL17
989,GORAB
990,DENND4B
991,DNAJC6
992,WRAP73
993,DDR2
994,LCE2D
995,LYPLA2
996,KIAA1614
997,TMEM167B
998,ADGRL4
999,KCNH1
1000,NBPF15
1001,INSL5
1002,ACBD3
1003,STX6
1004,RCSD1
1005,FCGR2A
1006,MIER1
1007,TARS2
1008,HMGCL
1009,CYP4A11
1010,SNAPIN
1011,OR2T1
1012,LZIC
1013,SLC6A17
1014,DNALI1
1015,ERO1B
1016,PRAMEF20
1017,THAP3
1018,ADAM15
1019,LRP8
1020,C2CD4D
1021,LCE1F
1022,GABRD
1023,LCE2A
1024,MINDY1
1025,C1orf105
1026,B3GALT2
1027,NHLH1
1028,KCNK1
1029,CFHR1
1030,DMRTB1
1031,BECN2
1032,VAMP4
1033,ZC3H11B
1034,FRRS1
1035,GPR25
1036,CDC73
1037,TBX15
1038,UAP1
1039,RNF2
1040,ZNF691
1041,CSDE1
1042,CD52
1043,BEST4
1044,MAGI3
1045,CD2
1046,IQCC
1047,DIO1
1048,CD48
1049,DRAXIN
1050,GSTM5
1051,SRRM1
1052,HS2ST1
1053,CCSAP
1054,DENND1B
1055,RPS6KC1
1056,TMEM39B
1057,MROH9
1058,PRAMEF26
1059,PTPN14
1060,MUC1
1061,KCNN3
1062,CORT
1063,OR2T27
1064,INTS11
1065,CENPS-CORT
1066,DYNLT5
1067,SWT1
1068,SLC2A7
1069,PDE4B
1070,HES2
1071,FUBP1
1072,ZYG11B
1073,C1QB
1074,ZC3H12A
1075,OR6K2
1076,ABCD3
1077,NBPF1
1078,LCE3B
1079,OR2AK2
1080,MRPL20
1081,VPS72
1082,SLC5A9
1083,NES
1084,HNRNPR
1085,CAPZA1
1086,HOOK1
1087,NUP210L
1088,OR2M7
1089,E2F2
1090,B3GALT6
1091,ADAMTS4
1092,C1orf226
1093,MYOC
1094,OR14C36
1095,C1orf21
1096,RO60
1097,PFDN2
1098,GPR37L1
1099,PADI3
1100,FCGR3B
1101,ARNT
1102,ZBTB7B
1103,SCAMP3
1104,UBE2T
1105,LAMC2
1106,HSD11B1
1107,OBSCN
1108,ETNK2
1109,S100A2
1110,SERBP1
1111,LIN28A
1112,LCE1A
1113,TMEM222
1114,USP24
1115,NSUN4
1116,CFHR3
1117,FCRL1
1118,COL16A1
1119,SH2D1B
1120,STPG1
1121,TTC13
1122,FAM72C
1123,FAM102B
1124,FMOD
1125,TNFRSF8
1126,OAZ3
1127,OR6N1
1128,SRSF4
1129,LY9
1130,SLC44A5
1131,MIXL1
1132,CTSE
1133,YRDC
1134,PDZK1
1135,CDC7
1136,TNFRSF4
1137,GGPS1
1138,BCAS2
1139,HCN3
1140,ETV3
1141,GUCA2B
1142,PYHIN1
1143,H4C14
1144,KLHDC9
1145,PLPPR4
1146,C4BPB
1147,RPS27
1148,SPRR2E
1149,SLC2A1
1150,HSD3B1
1151,ZMYND12
1152,RGSL1
1153,CAPN2
1154,CELA2B
1155,COL8A2
1156,C1QC
1157,FNBP1L
1158,SUSD4
1159,TMCO1
1160,SLC39A1
1161,SDCCAG8
1162,LMOD1
1163,NT5C1A
1164,SLC22A15
1165,NUCKS1
1166,ADGRL2
1167,LSM10
1168,SLC25A34
1169,ATAD3A
1170,OR2B11
1171,PNRC2
1172,EPHX1
1173,MED8
1174,ATP6V0B
1175,UBE2Q1
1176,NIPAL3
1177,IGSF3
1178,AVPR1B
1179,EDN2
1180,C1orf232
1181,HNRNPU
1182,DEPDC1
1183,SKI
1184,ALX3
1185,STMN1
1186,MRPL9
1187,TEX35
1188,PRXL2B
1189,PEA15
1190,IER5
1191,C1orf141
1192,EPB41
1193,TMEM82
1194,STK40
1195,PHACTR4
1196,CDC42SE1
1197,LMO4
1198,RUSC1
1199,WNT2B
1200,LCE1D
1201,NCSTN
1202,ACTL8
1203,RERE
1204,PRAMEF9
1205,CR1L
1206,BEND5
1207,ZBTB8OS
1208,FAM78B
1209,S100A7A
1210,RUNX3
1211,OTUD3
1212,FBXO6
1213,ATP1A1
1214,SFN
1215,DFFB
1216,LEXM
1217,CAPZB
1218,TTC4
1219,KISS1
1220,HSPA6
1221,AURKAIP1
1222,AGTRAP
1223,CASP9
1224,PI4KB
1225,AKNAD1
1226,TLCD4
1227,IGSF8
1228,F13B
1229,PAPPA2
1230,LRRC53
1231,PRAMEF19
1232,CDK18
1233,NCF2
1234,SFPQ
1235,FBXO42
1236,CHRNB2
1237,H6PD
1238,TPR
1239,RHEX
1240,FCRL3
1241,UTP25
1242,ATAD3B
1243,EFCAB7
1244,SCYL3
1245,OLFML3
1246,CLCNKB
1247,GJA4
1248,ISG15
1249,HES5
1250,TMEM234
1251,GPR153
1252,LDLRAD1
1253,OR6P1
1254,H2BC18
1255,ANGPTL1
1256,HES3
1257,KMO
1258,SCNM1
1259,AIDA
1260,PANK4
1261,PRAMEF15
1262,PADI4
1263,RGS5
1264,C1orf167
1265,NBPF19
1266,NLRP3
1267,RNASEL
1268,TEX50
1269,PABPC4
1270,KIF26B
1271,FCGR3A
1272,MTARC2
1273,ELAPOR1
1274,AGMAT
1275,DUSP23
1276,MAEL
1277,LORICRIN
1278,OR2L8
1279,NBPF9
1280,MEGF6
1281,DUSP12
1282,PODN
1283,ELK4
1284,ASH1L
1285,CFHR4
1286,MAN1A2
1287,ATP2B4
1288,C1orf54
1289,MACO1
1290,NPR1
1291,ALDH9A1
1292,GUCA2A
1293,TUT4
1294,GNG4
1295,GPR52
1296,PIFO
1297,PIAS3
1298,ZNF124
1299,RPAP2
1300,ACOT11
1301,FCRLA
1302,MAPKAPK2
1303,INPP5B
1304,TOMM20
1305,OR6N2
1306,FHL3
1307,TMEM275
1308,SSX2IP
1309,CTBS
1310,EIF2B3
1311,PER3
1312,ZNF684
1313,CCDC190
1314,BCL9
1315,CNST
1316,LAPTM5
1317,NID1
1318,RPS8
1319,RBMXL1
1320,WNT9A
1321,TRMT13
1322,TACSTD2
1323,GCSAML
1324,IKBKE
1325,H2BU1
1326,PTPRF
1327,MANEAL
1328,PIGM
1329,RTCA
1330,KIF1B
1331,AHCTF1
1332,SUCO
1333,PCP4L1
1334,HTR1D
1335,NPHS2
1336,CD101
1337,PHC2
1338,GBP6
1339,CADM3
1340,CHI3L1
1341,ELOVL1
1342,PFKFB2
1343,HTR6
1344,FBLIM1
1345,UBAP2L
1346,S100A8
1347,OR2T2
1348,PLEKHO1
1349,NTRK1
1350,TENT5C
1351,ABL2
1352,S100A1
1353,CD1A
1354,ADPRS
1355,OR2T34
1356,S100PBP
1357,EPS8L3
1358,ATP13A2
1359,OR10J5
1360,SV2A
1361,ABCB10
1362,SLC44A3
1363,LCE6A
1364,C1orf127
1365,GPR3
1366,GBP1
1367,CPLANE2
1368,CRABP2
1369,ASAP3
1370,DRAM2
1371,RPE65
1372,NBPF4
1373,OR2T12
1374,ZNF683
1375,KIF14
1376,SLAMF9
1377,AMIGO1
1378,CDC42BPA
1379,GMEB1
1380,OR10K1
1381,MAP7D1
1382,HNRNPCL3
1383,FYB2
1384,CAMK1G
1385,AQP10
1386,A3GALT2
1387,AGBL4
1388,SDHB
1389,USF1
1390,COLGALT2
1391,MEF2D
1392,MAP1LC3C
1393,ARHGEF19
1394,TLR5
1395,ENO1
1396,MASP2
1397,HIVEP3
1398,ICMT
1399,TMEM240
1400,OR11L1
1401,PGLYRP3
1402,B3GALNT2
1403,OR2T5
1404,MGST3
1405,SH3BGRL3
1406,THEM5
1407,EFHD2
1408,SPRR1A
1409,PDE4DIP
1410,NRAS
1411,ZNF695
1412,EXOC8
1413,TRABD2B
1414,AADACL3
1415,GTF2B
1416,DCST2
1417,PSMB4
1418,YBX1
1419,MFSD4A
1420,PEX10
1421,CSRP1
1422,TADA1
1423,LRRC7
1424,TDRD10
1425,PLK3
1426,C1orf87
1427,MTR
1428,AMY1C
1429,RABIF
1430,PEAR1
1431,OR2T35
1432,SELENON
1433,CELA2A
1434,UBQLN4
1435,FOXE3
1436,S100A12
1437,ALG6
1438,LCE5A
1439,MIA3
1440,HSPB7
1441,NFASC
1442,INKA2
1443,TTC24
1444,ATF6
1445,ANGEL2
1446,HENMT1
1447,LRRC39
1448,DNAJB4
1449,TATDN3
1450,PIK3R3
1451,RNPC3
1452,KCNC4
1453,TRIM67
1454,ZNF678
1455,TMEM61
1456,BPNT1
1457,C1orf131
1458,SLC35D1
1459,RGS4
1460,TTLL7
1461,TNFAIP8L2
1462,OLFM3
1463,EVI5
1464,TMEM50A
1465,BTG2
1466,RIMS3
1467,CC2D1B
1468,MKNK1
1469,PSMB2
1470,BARHL2
1471,ODR4
1472,PRAMEF18
1473,SERPINC1
1474,SLC2A5
1475,KTI12
1476,NBPF10
1477,CELA3B
1478,CYB5R1
1479,MFAP2
1480,RGS2
1481,DIPK1A
1482,GRHL3
1483,ANKRD35
1484,IARS2
1485,TMEM183A
1486,APH1A
1487,FAM177B
1488,PTPRC
1489,UBR4
1490,CPT2
1491,LHX4
1492,ENSA
1493,CROCC
1494,PGBD5
1495,TEDDM1
1496,PPCS
1497,ZNF669
1498,CTTNBP2NL
1499,LUZP1
1500,EPHB2
1501,TTC22
1502,RBP7
1503,MDM4
1504,RPF1
1505,POGK
1506,TGFB2
1507,SLC30A1
1508,KDF1
1509,TP73
1510,CHML
1511,C1orf116
1512,SELENBP1
1513,SLC35F3
1514,DMBX1
1515,LPAR3
1516,TNR
1517,PLCH2
1518,AMY2A
1519,LRRIQ3
1520,PALMD
1521,SMG7
1522,KAZN
1523,PPIAL4G
1524,LENEP
1525,TSSK3
1526,OR14A16
1527,NBL1
1528,FCER1A
1529,IFI44L
1530,ASB17
1531,SDHC
1532,PLA2G2D
1533,FAM72D
1534,GPSM2
1535,ZMYM1
1536,MPL
1537,MRPL55
1538,SLC1A7
1539,INSRR
1540,ENAH
1541,CLDN19
1542,MXRA8
1543,NBPF11
1544,PSMD4
1545,RASSF5
1546,INAVA
1547,ALPL
1548,TINAGL1
1549,ZBTB8A
1550,EDEM3
1551,TNFRSF14
1552,MAGOH
1553,MUL1
1554,C1orf68
1555,PPIAL4H
1556,FNDC5
1557,DHX9
1558,OR2T7
1559,TXNIP
1560,NRDC
1561,HSPG2
1562,GNAT2
1563,PTBP2
1564,CLCN6
1565,OR2G3
1566,C1orf50
1567,RPS6KA1
1568,ASTN1
1569,C1orf210
1570,OR2T10
1571,LAX1
1572,KLHL12
1573,TIE1
1574,OR2M4
1575,LCE1B
1576,RAP1GAP
1577,ZMYM6
1578,EGLN1
1579,ITPKB
1580,SLC45A1
1581,DPT
1582,AZIN2
1583,LGR6
1584,MATN1
1585,CTSK
1586,YOD1
1587,RAB3GAP2
1588,ATP8B2
1589,ADORA3
1590,FCRL6
1591,MED18
1592,THEM4
1593,COL11A1
1594,IL6R
1595,GPX7
1596,NIT1
1597,MFN2
1598,PKN2
1599,EFCAB2
1600,CELSR2
1601,CITED4
1602,RCOR3
1603,TMCC2
1604,RIT1
1605,PLA2G2C
1606,PTCH2
1607,TRIM45
1608,PTP4A2
1609,MAP3K21
1610,MYCBP
1611,CFAP74
1612,CDK11B
1613,USP21
1614,STYXL2
1615,C1orf109
1616,RLF
1617,DLGAP3
1618,PIGR
1619,AJAP1
1620,SSBP3
1621,FAM167B
1622,TSHB
1623,DVL1
1624,MICOS10-NBL1
1625,GBP7
1626,DESI2
1627,AMY1A
1628,PERM1
1629,NPPA
1630,RNF223
1631,INTS7
1632,OR6K6
1633,NADK
1634,HAO2
1635,XKR8
1636,MNDA
1637,DNAI4
1638,THEMIS2
1639,CNR2
1640,NUDC
1641,BCL2L15
1642,FBXO44
1643,GNG12
1644,SRARP
1645,SPSB1
1646,SNRNP40
1647,KIRREL1
1648,ZFP69
1649,RAB4A
1650,POU3F1
1651,C1orf100
1652,KCND3
1653,NDC1
1654,TMED5
1655,CERS2
1656,OR10K2
1657,CYP4B1
1658,FBXO28
1659,OTUD7B
1660,RAB7B
1661,PTAFR
1662,CD46
1663,ZFYVE9
1664,MTARC1
1665,H2BC21
1666,DISP1
1667,FAM163A
1668,GDAP2
1669,CACYBP
1670,VPS45
1671,DNAJC8
